ID;Raison_sociale;Numero_BCE;Numero_TVA;Adresse;Code_postal;Ville;Email_facturation;ANOMALIES_PEPPOL;PEPPOL_ID;STATUT_PEPPOL
01;Cabinet Fiduciaire Brabant;0472.198.275;BE0472198275;Rue de Bruxelles 14;1300;Wavre;facturation@fiduciaire-brabant.be;CONFORME;0208:0472198275;COMPATIBLE
02;Garage Dupont & Fils SPRL;0431.139.363;BE0431139363;Boulevard d'Avroy 22;4000;Liège;comptabilite@dupont-garage.be;CONFORME;0208:0431139363;COMPATIBLE
03;Boulangerie Saint-Aubain;0435.889.195;BE0435889195;Rue de Fer 45;5000;Namur;contact@boulangerie-saintaubain.be;CONFORME;0208:0435889195;COMPATIBLE
04;Boulangerie Saint-Aubain SA;0435.889.195;BE0435889195;RUE DE FER 45;5000;NAMUR;factures@boulangerie-saintaubain.be;CONFORME;0208:0435889195;COMPATIBLE
05;Menuiserie Mosane SPRL;0465.191.244;BE0465191244;Avenue des Martyrs 12;5020;Champion;info@menuiserie-mosane.be;"BCE_INVALID(Échec Modulo 97 (trouvé=44, attendu=14)); TVA_INVALID(TVA invalide: Échec Modulo 97 (trouvé=44, attendu=14))";A_CORRIGER;NON_CONFORME
06;Tech Solutions Bruxelles;0892.456.789;BE0892456789;Rue Royale 100;1000;Bruxelles;admin@techsolutions.be;"BCE_INVALID(Échec Modulo 97 (trouvé=89, attendu=15)); TVA_INVALID(TVA invalide: Échec Modulo 97 (trouvé=89, attendu=15))";A_CORRIGER;NON_CONFORME
07;Pharmacie du Centre;0402.891.234;BE0402891234;Place Reine Astrid 5;7000;Mons;contact@pharmacie-mons.be;"BCE_INVALID(Échec Modulo 97 (trouvé=34, attendu=80)); TVA_INVALID(TVA invalide: Échec Modulo 97 (trouvé=34, attendu=80))";A_CORRIGER;NON_CONFORME
08;Transport & Logistique Hainaut;0451.923.473;BE0451923473;Chaussée de Mons 88;6000;Charleroi;compta@transports-hainaut.be;"BCE_INVALID(Échec Modulo 97 (trouvé=73, attendu=93)); TVA_INVALID(TVA invalide: Échec Modulo 97 (trouvé=73, attendu=93))";A_CORRIGER;NON_CONFORME
09;Boucherie des Ardennes;0821.993.570;;Grand Rue 12;6800;Libramont;boucherie@ardennes.be;BCE_INVALID(Échec Modulo 97 (trouvé=70, attendu=39));A_CORRIGER;NON_CONFORME
10;Societe Radiée SPRL (Ancienne);0891.004.422;BE0891004422;Rue Neuve 3;1000;Bruxelles;contact@ancienne-sprl.be;"BCE_INVALID(Échec Modulo 97 (trouvé=22, attendu=85)); TVA_INVALID(TVA invalide: Échec Modulo 97 (trouvé=22, attendu=85))";A_CORRIGER;NON_CONFORME
11;Restaurant Leffe Dinant;0843.712.656;BE0843712656;Quai Churchill 8;5500;Dinant;leffe@dinant-resto.be;"BCE_INVALID(Échec Modulo 97 (trouvé=56, attendu=31)); TVA_INVALID(TVA invalide: Échec Modulo 97 (trouvé=56, attendu=31))";A_CORRIGER;NON_CONFORME
12;Immobiliere Namuroise;0884.520.318;BE0884520318;Rue des Croisiers 19;5000;Namur;contact@immo-namur.be;"BCE_INVALID(Échec Modulo 97 (trouvé=18, attendu=33)); TVA_INVALID(TVA invalide: Échec Modulo 97 (trouvé=18, attendu=33))";A_CORRIGER;NON_CONFORME
13;Immobilière Namuroise SA;0884.520.318;BE0884520318;RUE DES CROISIERS 19;5000;NAMUR;info@immo-namur.be;"BCE_INVALID(Échec Modulo 97 (trouvé=18, attendu=33)); TVA_INVALID(TVA invalide: Échec Modulo 97 (trouvé=18, attendu=33))";A_CORRIGER;NON_CONFORME
14;Nettoyage Industriel Wallonie;0875.601.442;;Rue de la Poste 5;4000;Liège;factures@nettoyage-wallonie.be;BCE_INVALID(Échec Modulo 97 (trouvé=42, attendu=79));A_CORRIGER;NON_CONFORME
15;Auto-Ecole Conduite Pro;0853.940.245;BE0853940245;Boulevard Tirou 40;6000;Charleroi;contact@conduite-pro.be;"BCE_INVALID(Échec Modulo 97 (trouvé=45, attendu=90)); TVA_INVALID(TVA invalide: Échec Modulo 97 (trouvé=45, attendu=90))";A_CORRIGER;NON_CONFORME
16;Electricite & Câblage Sambre;0904.018.876;BE0904018876;Rue de Mons 12;6000;CHARLEROI;electricite@sambre.be;"BCE_INVALID(Échec Modulo 97 (trouvé=76, attendu=18)); TVA_INVALID(TVA invalide: Échec Modulo 97 (trouvé=76, attendu=18))";A_CORRIGER;NON_CONFORME
17;Brasserie Artisanale d'Ecaussinnes;0862.774.020;BE0862774020;Rue du Presbytère 1;7190;Ecaussinnes;biere@artisanale.be;"BCE_INVALID(Échec Modulo 97 (trouvé=20, attendu=22)); TVA_INVALID(TVA invalide: Échec Modulo 97 (trouvé=20, attendu=22))";A_CORRIGER;NON_CONFORME
18;Studio Graphique & Print;0899.201.388;BE0899201388;Rue du Palais 14;4000;Liège;studio@print-liege.be;"BCE_INVALID(Échec Modulo 97 (trouvé=88, attendu=81)); TVA_INVALID(TVA invalide: Échec Modulo 97 (trouvé=88, attendu=81))";A_CORRIGER;NON_CONFORME
19;Plomberie Chauffage Express;0911.457.810;BE0911457810;Route de Hannut 25;5004;Bouge;plomberie@express-bouge.be;"BCE_INVALID(Échec Modulo 97 (trouvé=10, attendu=27)); TVA_INVALID(TVA invalide: Échec Modulo 97 (trouvé=10, attendu=27))";A_CORRIGER;NON_CONFORME
20;Optique Vision Plus Nivelles;0920.336.435;BE0920336435;Place Émile de Lalieux 9;1400;Nivelles;optique@vision-nivelles.be;"BCE_INVALID(Échec Modulo 97 (trouvé=35, attendu=93)); TVA_INVALID(TVA invalide: Échec Modulo 97 (trouvé=35, attendu=93))";A_CORRIGER;NON_CONFORME
