# DONNEES 100% FICTIVES — FICHIER DE DEMONSTRATION (ne represente aucune entreprise reelle)
ID;Raison_sociale;SIREN;SIRET;Adresse;Code_postal;Ville;Num_TVA_intracom;Email_comptable
01;STE EXEMPLE BETA;123456789;12345678900012;14 rue des Lilas;31200;Toulouse;FR40123456789;comptabilite@exemple-beta.fr
02;GARAGE DUPONT & FILS;804556219;80455621900015;8 avenue de Muret;31300;Toulouse;FR40804556219;comptabilite@garage-dupont.fr
03;BOULANGERIE MARTIN;803245672;80324567200021;27 place du Capitole;31000;Toulouse;FR40803245672;contact@boulangerie-martin.fr
04;Boulangerie Martin SAS;803245672;80324567200021;27 PLACE DU CAPITOLE;31000;Toulouse;FR40803245672;contact@boulangerie-martin.fr
05;MENUISERIE LEBRUN;902133458;90213345800011;12 av. de la République;31400;Toulouse;FR40902133458;contact@menuiserie-lebrun.fr
06;SARL TECH SOLUTIONS;903881245;90388124500019;5 chemin des Vignes;31770;Colomiers;FR 12 3903881245;contact@tech-solutions.fr
07;PHARMACIE CENTRALE;509447112;50944711200013;3 rue Saint-Rome;31000;Toulouse;FR50509447112;contact@pharmacie-centrale.fr
08;CABINET MOREL CONSEIL;752290884;75229088400017;19 allée Jean Jaurès;31200;Toulouse;FR40752290884;contact@morel-conseil.fr
09;FLEURISTE LA ROSE;821993507;82199350700010;2 boulevard Strasbourg;31000;Toulouse;;contact@fleuriste-larose.fr
10;TRANSPORTS DUPONT (radiée);891004437;89100443700023;44 route de Paris;31200;Toulouse;FR40891004437;contact@transports-dupont.fr
11;RESTAURANT LE GOURMET;843712609;84371260900016;9 rue du Taur;31000;Toulouse;FR40843712609;contact@le-gourmet.fr
12;AGENCE IMMO HORIZON;884520331;88452033100018;31 rue Alsace Lorraine;31000;Toulouse;FR40884520331;contact@immo-horizon.fr
13;Agence Immo Horizon;884520331;88452033100026;31, RUE ALSACE LORRAINE;31000;TOULOUSE;FR40884520331;contact@immo-horizon.fr
14;PRESSING NETPLUS;875601442;87560144200014;16 rue Riquet;31000;Toulouse;;contact@netplus.fr
15;AUTO-ECOLE CONDUITE+;853940221;85394022100012;7 avenue de Lyon;31500;Toulouse;FR40853940221;contact@conduite-plus.fr
16;ELECTRICITE VOLTIA;904018876;90401887600020;22 rue de Metz;31000;TOULOUSEE;FR40904018876;contact@voltia.fr
17;CAVE DES VIGNERONS;862774015;86277401500022;12 place Victor Hugo;31300;Toulouse;FR40862774015;contact@cave-vignerons.fr
18;STUDIO GRAPHIK;899201334;8992013340001;4 rue Croix Baragnon;31000;Toulouse;FR40899201334;contact@studio-graphik.fr
19;PLOMBERIE AQUAFLOW;911457802;91145780200011;29 chemin du Canal;31400;Toulouse;FR40911457802;contact@aquaplow.fr
20;OPTIQUE VISIONCLAIR;920336418;92033641800019;11 rue d'Alsace;31200;Toulouse;FR40920336418;contact@visionclair.fr
