id,corridor,nom_entite,pays,ville,identifiant_legal,type_acteur,canal_contact,contact_cible,role_cible,trigger_urgence,service_propose,fourchette_prix_eur_usd,rail_paiement,statut,hook_accroche
1,FR_PDP,Pennylane,France,Paris,838848488,Plateforme Agreee (PDP),mail_puis_linkedin,contact@pennylane.com,Responsable Partenariats / Ecosysteme,Volume massif d'erreurs SIREN a l'import des nouveaux clients,Sous-traitance nettoyage referentiels clients a l'onboarding,1500-5000 EUR/mois,Facture ANAE / Virement SEPA,PROSPECT_QUALIFIE,"Pennylane donne l'outil mais ne nettoie pas les SIREN : je fiabilise les fichiers entrants de vos cabinets partenaires."
2,FR_PDP,Yooz,France,Paris,503612442,Plateforme Agreee (PDP),formulaire_et_mail,contact@getyooz.com,Head of Partner Enablement,Rejets Factur-X dus aux doublons et coordonnees bancaires erronees,Audit et assainissement donnees fournisseurs AP/AR,2000-6000 EUR/lot,Virement SEPA / Deel,PROSPECT_QUALIFIE,"L'IA Yooz est puissante mais souffre des referentiels sales : je garantis zero rejet de routage en amont."
3,FR_PDP,Tiime,France,Paris,823811278,Plateforme Agreee (PDP),mail_et_formulaire,contact@tiime.fr,Responsable Relations Experts-Comptables,Flux TPE entrants avec numeros de TVA intracommunautaire invalides,Nettoyage de masse des fiches clients TPE,1000-4000 EUR/lot,Facture ANAE / Malt,PROSPECT_QUALIFIE,"Vos 100 000 utilisateurs TPE ont des bases clients heterogenes : je prends en charge la fiabilisation pre-emission."
4,FR_PDP,Esker,France,Lyon,333800654,Plateforme Agreee (PDP n0005),formulaire_partenaire,info@esker.fr,Directeur Alliances & Partenariats,Exigences strictes de conformite sur les flux grands comptes et ETI,Preparation et verification des identifiants d'annuaire Peppol,3000-8000 EUR/mission,Virement bancaire / SWIFT,PROSPECT_QUALIFIE,"Agree n0005 : nous prenons en charge la tache ingrate de validation d'annuaire pour vos clients ETI."
5,FR_PDP,Axonaut,France,Toulouse,834100777,Plateforme Agreee (PDP),formulaire_support,nicolas@axonaut.com,Direction Produit & Partenariats,Clients TPE ne comprenant pas les rejets de format Factur-X,Kit de migration et fiabilisation de base de facturation,1200-3500 EUR/lot,Malt / Virement SEPA,PROSPECT_QUALIFIE,"Axonaut simplifie la gestion : nous eliminons les blocages SIREN avant que le support technique ne soit deborde."
6,FR_VULN_SECTOR,Groupe Spie Batignolles (Filiales regionales),France,Neuilly-sur-Seine,324180479,BTP / Construction,mail_direction_financiere,contact@spiebatignolles.fr,Directeur Administratif et Financier (DAF),Factures de situation et sous-traitants multiples non immatricules,Fiabilisation des 1500 sous-traitants et fournisseurs de chantier,3500-10000 EUR/mission,Virement SEPA / Deel,PROSPECT_QUALIFIE,"Le BTP cumule 40% des litiges de facturation : nous certifions l'annuaire de vos sous-traitants avant blocage chantier."
7,FR_VULN_SECTOR,Pomona (Reseau distribution alimentaire),France,Antony,552044992,Grossiste / Negoce alimentaire,mail_daf,relations-fournisseurs@groupe-pomona.fr,Responsable Comptabilite Fournisseurs,Flux quotidiens de milliers de factures avec penalites de retard,Controle automatique des mentions obligatoires et coordonnees EDI,4000-12000 EUR/mission,Virement bancaire SEPA,PROSPECT_QUALIFIE,"En negoce alimentaire, une facture rejetee bloque une livraison : notre audit donnees elimine 99% des erreurs."
8,BE_PEPPOL,Fiduciaire Brabant Wallon,Belgique,Wavre,BE0472198212,Fiduciaire ITAA,mail_associe,info@fiduciaire-brabant.be,Expert-comptable Gerant / Associe,Peppol obligatoire depuis 01/01/2026 - amendes actives jusqu'a 5000 EUR,Mise en conformite express des referentiels clients vers Peppol BIS 3.0,800-3500 EUR,Malt BE / Payoneer / Virement,PROSPECT_QUALIFIE,"Peppol est obligatoire en Belgique depuis janvier : vos clients risquent 1500 a 5000 EUR d'amende pour fiches non conformes."
9,BE_PEPPOL,Fiduciaire de Wallonie (Liège & Namur),Belgique,Liège,BE0435889108,Cabinet d'expertise comptable ITAA,tel_puis_mail,contact@fiduciairedewallonie.be,Responsable de Production Comptable,Clients PME continuant a envoyer des PDF par mail (invalides fiscalement),Traitement et normalisation des identifiants d'entreprise BCE/KBO,1000-4500 EUR,Virement SEPA / Payoneer,PROSPECT_QUALIFIE,"Le PDF par mail n'est plus reconnu par le fisc belge : nous convertissons vos referentiels en format structure Peppol."
10,BE_PEPPOL,Polynome SPRL (WinBooks / Exact Partner),Belgique,Namur,BE0465191244,Integrateur ERP & Logiciels Comptables,formulaire_et_tel,info@polynome.be,Directeur Technique & Support Fiduciaires,Goulot d'etranglement sur le deploiement WinBooks/Clearfacts,Sous-traitance de la fiabilisation des fichiers clients des fiduciaires clientes,250-400 EUR/jour TJM,Virement bancaire / Malt,PROSPECT_QUALIFIE,"Vous deployez WinBooks et Exact Peppol : confiez-nous la saisie et fiabilisation des donnees qui ralentit vos equipes."
